genes,loadings
AT1G05120,-0.007581025936756692
AT1G05123,-0.0013943796528506599
AT1G05127,1.0735295752358967e-05
AT1G05133,-0.00034791082297761406
AT1G05135,-0.007804973787834222
AT1G05136,-0.0003141335789313056
AT1G05137,-0.00032386838797543373
AT1G05140,-0.007162118706287353
AT1G05143,-0.00411885238015044
AT1G05147,-0.001896579854712984
AT1G05150,-0.007504333961220473
AT1G05153,-0.003669026341394757
AT1G05160,-0.007164098299234406
AT1G05163,-0.000968907163535491
AT1G05170,-0.007294465962705494
AT1G05173,0.0001521288799449933
AT1G05177,-2.1231688295140644e-05
AT1G05180,-0.0082228092243088
AT1G05183,-0.00502113361844345
AT1G05187,-0.000988420598202784
AT1G05190,-0.008113843405828535
AT1G05193,2.804116225361743e-05
AT1G05197,-1.852679466053938e-05
AT1G05200,-0.008082613054629388
AT1G05203,-0.0014702798955834376
AT1G05205,-0.00854952294680162
AT1G05207,-0.007255552482419158
AT1G05210,-0.0082025291813256
AT1G05213,-0.0031656458348425253
AT1G05217,-4.5572421880998015e-05
AT1G05220,-0.004045429162554833
AT1G05223,-4.6610371995087934e-05
AT1G05227,-0.00019230718372974085
AT1G05230,-0.007237612398211538
AT1G05233,3.34268986438133e-05
AT1G05237,-9.153353134908546e-06
AT1G05240,-0.005591443575803004
AT1G05243,-0.0003952242965483855
AT1G05247,-0.0017265963585048022
AT1G05250,-0.00605565631975813
AT1G05253,0.0015235471070720078
AT1G05257,-0.0010870832342453952
AT1G05260,-0.009455251120801039
AT1G05263,6.560391587757242e-05
AT1G05267,0.00012888721092431027
AT1G05270,-0.006810204369592854
AT1G05273,0.0008799906069128893
AT1G05277,-0.0037086440182045152
AT1G05280,-0.0030459099026793742
AT1G05283,0.00014478251631196544
AT1G05287,-0.0006239334821569609
AT1G05290,-8.018182566621157e-05
AT1G05291,-4.071283087287881e-05
AT1G05293,-0.00053145684446097
AT1G05297,-0.0030985744044635943
AT1G05300,-0.006070396946413488
AT1G05303,7.116500221574895e-05
AT1G05307,-1.6132054805773388e-05
AT1G05310,-0.006534211208768359
AT1G05313,-5.847162219336273e-05
AT1G05317,-0.0010381770159562896
AT1G05320,-0.008808576111809461
AT1G05323,-0.00038349359045165913
AT1G05327,-0.00029316270377061397
AT1G05330,-0.0007810253892145273
AT1G05333,-0.007615373476141085
AT1G05337,0.0007790536490793347
AT1G05340,-0.006921245753695748
AT1G05343,-0.0006239459256380918
AT1G05347,-0.004968503308798436
AT1G05350,-0.008310279745089456
AT1G05353,0.0002459668643793124
AT1G05357,-0.00014110022764255567
AT1G05360,-0.007741766866408692
AT1G05363,-0.0009349109545523526
AT1G05367,-0.00030494717682082943
AT1G05370,-0.004763181962884988
AT1G05373,-1.1437247793555154e-05
AT1G05377,-3.203914001065055e-05
AT1G05380,-0.0069327120019942005
AT1G05383,-0.00043313524752827703
AT1G05385,-0.008177972906593759
AT1G05387,4.3343880140608224e-05
AT1G05390,-5.661336242146426e-06
AT1G05397,-0.0013549611027681137
AT1G05400,-0.0037649167117232572
AT1G05407,-4.559814184367445e-06
AT1G05410,-0.00786574752671155
AT1G05413,7.1386092239104815e-06
AT1G05417,-0.0011719057831172952
AT1G05420,-0.004255414842385316
AT1G05423,-0.0051801216406146666
AT1G05427,-0.0023689295351655222
AT1G05430,-0.008597236458598773
AT1G05433,-0.0012851413566111812
AT1G05440,-0.0052875238329055
AT1G05443,-0.000540346385305908
AT1G05447,-4.007666824148379e-05
AT1G05450,-0.0030002587883212217
AT1G05453,0.0030511544414560682
AT1G05460,-0.007048819943485992
AT1G05463,-0.0010288677077087106
AT1G05467,-0.007232137451959722
AT1G05470,-0.00783030518936132
AT1G05473,3.410438420486115e-05
AT1G05477,2.1405991582415243e-05
AT1G05483,1.6556565708938677e-05
AT1G05487,-0.0006025667468348728
AT1G05490,-0.002841040352898995
AT1G05493,-0.00030728069778701003
AT1G05497,1.898530518780346e-05
AT1G05500,-0.008703494608682862
AT1G05507,2.0808214146558035e-05
AT1G05510,-0.0002516098690773314
AT1G05517,-0.001910111018698776
AT1G05520,-0.008022008517356297
AT1G05523,-0.004102585428983456
AT1G05527,-0.00013244684507526856
AT1G05530,-0.0027748095204564124
AT1G05533,-0.00047103977223479724
AT1G05537,1.0604482764302378e-05
AT1G05540,-0.005526245626834274
AT1G05543,-3.941418342295072e-05
AT1G05547,5.277071814721663e-06
AT1G05550,-0.0015173488272891612
