SampleID,family,TissueClean,stress,AboveBelow,VegetativeRepro,true_labels,predictions
SRR8100070,Solanaceae,Flower,healthy,Above,Reproductive,3,5
SRR8100071,Solanaceae,Flower,healthy,Above,Reproductive,3,5
SRR6389278,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR6389279,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR6389286,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR6389280,Cucurbitaceae,Root,nitrogen,Below,Vegetative,13,13
SRR6389281,Cucurbitaceae,Root,nitrogen,Below,Vegetative,13,13
SRR6389288,Cucurbitaceae,Root,nitrogen,Below,Vegetative,13,13
SRR6389282,Cucurbitaceae,Leaf,nitrogen,Above,Vegetative,7,7
SRR6389283,Cucurbitaceae,Leaf,nitrogen,Above,Vegetative,7,7
SRR6389289,Cucurbitaceae,Leaf,nitrogen,Above,Vegetative,7,7
SRR6389284,Cucurbitaceae,Root,healthy,Below,Vegetative,13,13
SRR6389285,Cucurbitaceae,Root,healthy,Below,Vegetative,13,13
SRR6389287,Cucurbitaceae,Root,healthy,Below,Vegetative,13,13
SRR2033940,Cucurbitaceae,Flower,healthy,Above,Reproductive,3,19
SRR2033941,Cucurbitaceae,Flower,healthy,Above,Reproductive,3,0
SRR2033942,Cucurbitaceae,Flower,healthy,Above,Reproductive,3,9
SRR2033943,Cucurbitaceae,Flower,healthy,Above,Reproductive,3,7
SRR915982,Cucurbitaceae,Root,healthy,Below,Vegetative,13,13
SRR916132,Cucurbitaceae,Root,other,Below,Vegetative,13,13
SRR916133,Cucurbitaceae,Root,healthy,Below,Vegetative,13,13
SRR916135,Cucurbitaceae,Root,other,Below,Vegetative,13,13
SRR916156,Cucurbitaceae,Root,healthy,Below,Vegetative,13,13
SRR916184,Cucurbitaceae,Root,other,Below,Vegetative,13,13
SRR916185,Cucurbitaceae,Root,healthy,Below,Vegetative,13,13
SRR916186,Cucurbitaceae,Root,other,Below,Vegetative,13,13
SRR7075814,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR7075815,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR7075816,Cucurbitaceae,Leaf,drought,Above,Vegetative,7,7
SRR7075817,Cucurbitaceae,Leaf,drought,Above,Vegetative,7,7
SRR7075818,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR7075819,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR7075820,Cucurbitaceae,Leaf,drought,Above,Vegetative,7,7
SRR7075821,Cucurbitaceae,Leaf,drought,Above,Vegetative,7,7
SRR7075822,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR7075823,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR7075824,Cucurbitaceae,Leaf,drought,Above,Vegetative,7,7
SRR7075825,Cucurbitaceae,Leaf,drought,Above,Vegetative,7,7
SRR7075826,Cucurbitaceae,Leaf,drought,Above,Vegetative,7,7
SRR7075827,Cucurbitaceae,Leaf,drought,Above,Vegetative,7,7
SRR7075828,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR7075829,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR11040540,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR11040541,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR11040542,Cucurbitaceae,Leaf,healthy,Above,Vegetative,7,7
SRR11040543,Cucurbitaceae,Leaf,drought,Above,Vegetative,7,7
SRR11040544,Cucurbitaceae,Leaf,drought,Above,Vegetative,7,7
SRR11040545,Cucurbitaceae,Leaf,drought,Above,Vegetative,7,7
SRR8177409,Cucurbitaceae,Flower,heat,Above,Reproductive,3,13
SRR8177411,Cucurbitaceae,Flower,heat,Above,Reproductive,3,13
SRR8177412,Cucurbitaceae,Flower,heat,Above,Reproductive,3,13
SRR8177410,Cucurbitaceae,Flower,heat,Above,Reproductive,3,15
SRR8177425,Cucurbitaceae,Flower,heat,Above,Reproductive,3,13
