genes,loadings
AT1G18550,-0.011096126231650518
AT1G18580,-0.012404023929531731
AT1G18600,-0.014032135448475475
AT1G18640,-0.014859764663273514
AT1G18660,-0.014634715834135314
AT1G18680,-0.012249544649621866
AT1G18690,-0.00915011453240632
AT1G18700,-0.012886733605778898
AT1G18730,-0.016774022502288998
AT1G18773,-0.011418662531409362
AT1G18800,-0.01565279067217707
AT1G18830,-0.0016617888619702985
AT1G18850,-0.012644107410781494
AT1G18870,4.73737996719954e-05
AT1G18950,-0.013224181048675088
AT1G18960,-0.0015249867751332994
AT1G19010,-0.011285535433338599
AT1G19080,-0.012090352666083253
AT1G19130,-0.013717364700679465
AT1G19140,-0.012542110063569971
AT1G19150,-0.016353821926626058
AT1G19170,-0.013395035193245638
AT1G19220,-0.010400502329636834
AT1G19250,0.018671538102661103
AT1G19340,-0.01045910738915715
AT1G19360,-0.014589585311683955
AT1G19370,-0.01117900441581121
AT1G19380,-0.010150742248447338
AT1G19400,-0.012756189762856538
AT1G19430,-0.013415670470488864
AT1G19490,-0.008957422959954284
AT1G19520,-0.012309678695308622
AT1G19550,-0.0003585095455857457
AT1G19580,-0.014303690027672834
AT1G19600,-0.014681669801048776
AT1G19690,-0.014141371165734502
AT1G19710,-0.013699903196442044
AT1G19715,-0.016494180947755545
AT1G19740,-0.01269976523322385
AT1G19750,-0.005179112147216503
AT1G19800,-0.014251065675007335
AT1G19850,-0.012794646324557042
AT1G19870,-0.014166333623418433
AT1G19880,-0.015077112903416299
AT1G19980,-0.010874169121906767
AT1G19990,-0.013621450388730747
AT1G20000,-3.074133533961564e-06
AT1G20020,-0.013633358366423562
AT1G20050,-0.014331957234357259
AT1G20060,-0.008704735117580978
AT1G20065,-0.005655085681241775
AT1G20110,-0.01152302561477063
AT1G20200,-0.013529961285118788
AT1G20225,-0.012849208157085004
AT1G20260,-0.014281738864893036
AT1G20300,-0.009272015909382947
AT1G20310,-0.002281631368659577
AT1G20330,-0.012956990677187358
AT1G20340,-0.0065682649026346405
AT1G20370,-0.01312126739292036
AT1G20380,-0.011512450028287671
AT1G20480,-0.008721915496371512
AT1G20570,-0.005140921347303017
AT1G20575,-0.014171728322167116
AT1G20580,-0.014710101887601324
AT1G20720,-0.009028510760992883
AT1G20760,-0.013427807464135194
AT1G20770,-0.014225443235994886
AT1G20780,-0.012138702255480274
AT1G20810,-0.016716311986511304
AT1G20816,-0.014736381280458155
AT1G20830,-0.014158388424281193
AT1G20850,-0.015072149311068907
AT1G20890,-0.012019571769197752
AT1G20920,-0.011598454456836894
AT1G20950,-0.015194259626708199
AT1G20970,-0.01052659883945322
AT1G20990,-0.003927369475985335
AT1G21065,-0.015374845844933151
AT1G21070,-0.011626288838844426
AT1G21090,-0.01243971545279335
AT1G21170,-0.012815103113990723
AT1G21190,-0.014579495651550502
AT1G21200,-0.010956481408904798
AT1G21350,-0.016131213888315555
AT1G21360,-0.004417645129055922
AT1G21370,-0.012032379266098991
AT1G21380,-0.01368081453427803
AT1G21400,-0.013995636612295878
AT1G21410,-0.012906227524481229
AT1G21450,-0.01103071625608056
AT1G21460,-0.01526514250093921
AT1G21480,-0.013877342256303975
AT1G21590,-0.014707423784335583
AT1G21600,-0.016198973557314426
AT1G21610,-0.0135849597772872
AT1G21640,-0.012456112997694219
AT1G21650,-0.013551171692985125
AT1G21651,-0.011756156649148558
AT1G21670,-0.0094235626540388
AT1G21690,-0.014696990272801054
AT1G21700,-0.0133761668467287
AT1G21710,-0.013064331871774795
AT1G21720,-0.014089171114435955
AT1G21740,-0.009520139067175408
AT1G21750,-0.013030833942890532
AT1G21760,-0.013396599113893412
AT1G21780,-0.013843687891056137
AT1G21790,-0.01159592598941618
AT1G21830,-0.011549089623193157
AT1G21870,-4.0521775779658585e-05
AT1G21880,-0.015550270930357086
AT1G21920,-0.013153983708494292
AT1G21980,-0.013123316286751287
AT1G22030,-0.010020047952370012
AT1G22040,-0.011513810030302638
AT1G22060,-0.013177344365832294
AT1G22100,-0.000491902987987839
AT1G22170,-0.01322377695308337
AT1G22180,-0.01155400922754488
AT1G22200,-0.013676944858737272
AT1G22250,-0.013055346038425411
AT1G22260,-0.0041988745044408875
AT1G22460,-0.002112747021739834
AT1G22510,-0.01269073052855569
AT1G22520,-0.014061050650699443
AT1G22600,-0.0032299564024566192
AT1G22620,-0.013329795699914798
AT1G22660,-0.013629706574685669
AT1G22670,-0.00026149581314434595
AT1G22700,-0.015583514004364609
AT1G22750,-0.014476641638018772
AT1G22770,-0.0123809365269389
AT1G22790,-0.013298616372100539
AT1G22800,-0.005891019412621877
AT1G22830,-0.007198173398830534
AT1G22840,-0.012516491819048665
AT1G22850,-0.014192886789231933
AT1G22860,-0.011929983163684352
AT1G22870,-0.01156168795531427
AT1G22882,-0.012457038854454034
AT1G22920,-0.014191468877116246
AT1G22930,-0.01135409591489356
AT1G22940,-0.014800825929036383
AT1G22950,-0.01479667990896755
AT1G23010,-0.007956007907581573
AT1G23030,-0.012629140341563459
AT1G23110,-0.004032974808577617
AT1G23170,-0.011852995235002472
AT1G23190,-0.013660157724806457
AT1G23230,-0.012402814112376948
AT1G23280,-0.015436526605311177
AT1G23310,-0.012712961289999103
AT1G23360,-0.015119807377573086
AT1G23390,-0.011978456890933452
AT1G23440,-0.012794959479548932
AT1G23460,-0.011623378017557235
AT1G23560,-0.006587409798647065
AT1G23740,-0.015540284366608854
AT1G23770,-0.0004890120313465231
AT1G23790,-0.010010264704679089
AT1G23820,-0.015989900053073488
AT1G23880,-0.009718014354070856
